"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0050 hourly","$0.0031 hourly","$0.0028 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0056 hourly","$0.0035 hourly","$0.0032 hourly","$0.0102 hourly","$0.0081 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs for a 1h 12m burst","EBS only","Up to 5 Gigabit","$0.0062 hourly","$0.0039 hourly","$0.0029 hourly","$0.0108 hourly","$0.0085 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs for a 1h 12m burst","EBS only","Low to Moderate","$0.0069 hourly","$0.0050 hourly","unavailable","$0.0092 hourly","$0.0073 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0100 hourly","$0.0063 hourly","$0.0034 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0112 hourly","$0.0070 hourly","$0.0036 hourly","$0.0204 hourly","$0.0162 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs for a 2h 24m burst","EBS only","Up to 5 Gigabit","$0.0124 hourly","$0.0078 hourly","$0.0037 hourly","$0.0216 hourly","$0.0170 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs for a 2h 24m burst","EBS only","Low to Moderate","$0.0138 hourly","$0.0100 hourly","$0.0041 hourly","$0.0184 hourly","$0.0146 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0200 hourly","$0.0126 hourly","$0.0060 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0223 hourly","$0.0141 hourly","$0.0067 hourly","$0.0407 hourly","$0.0325 hourly"
"T3 Small","t3.small","2.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0248 hourly","$0.0156 hourly","$0.0083 hourly","$0.0432 hourly","$0.0340 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","$0.0250 hourly","$0.0170 hourly","$0.0026 hourly","$0.0350 hourly","$0.0250 hourly"
"T2 Small","t2.small","2.0 GiB","1 vCPUs for a 4h 48m burst","EBS only","Low to Moderate","$0.0276 hourly","$0.0201 hourly","$0.0083 hourly","$0.0368 hourly","$0.0293 hourly"
"T4G Medium","t4g.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0400 hourly","$0.0252 hourly","$0.0120 hourly","unavailable","unavailable"
"C6G Medium","c6g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0424 hourly","$0.0267 hourly","$0.0162 hourly","unavailable","unavailable"
"T3A Medium","t3a.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0446 hourly","$0.0281 hourly","$0.0147 hourly","$0.0630 hourly","$0.0465 hourly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0448 hourly","$0.0282 hourly","$0.0170 hourly","unavailable","unavailable"
"M1 General Purpose Small","m1.small","1.7 GiB","1 vCPUs","160 GB HDD","Low","$0.0470 hourly","$0.0340 hourly","$0.0079 hourly","$0.0780 hourly","$0.0660 hourly"
"C6GD Medium","c6gd.medium","2.0 GiB","1 vCPUs","59 GB NVMe SSD","Up to 10 Gigabit","$0.0480 hourly","$0.0305 hourly","$0.0162 hourly","unavailable","unavailable"
"T3 Medium","t3.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Up to 5 Gigabit","$0.0496 hourly","$0.0312 hourly","$0.0168 hourly","$0.0680 hourly","$0.0496 hourly"
"M6GD Medium","m6gd.medium","4.0 GiB","1 vCPUs","59 GB NVMe SSD","Up to 10 Gigabit","$0.0530 hourly","$0.0336 hourly","$0.0170 hourly","unavailable","unavailable"
"C6GN Medium","c6gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 16 Gigabit","$0.0540 hourly","$0.0341 hourly","$0.0162 hourly","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs for a 4h 48m burst","EBS only","Low to Moderate","$0.0552 hourly","$0.0401 hourly","$0.0166 hourly","$0.0732 hourly","$0.0581 hourly"
"R6G Medium","r6g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","$0.0560 hourly","$0.0353 hourly","$0.0178 hourly","unavailable","unavailable"
"R6GD Medium","r6gd.medium","8.0 GiB","1 vCPUs","59 GB NVMe SSD","Up to 10 Gigabit","$0.0650 hourly","$0.0410 hourly","$0.0178 hourly","unavailable","unavailable"
"M3 General Purpose Medium","m3.medium","3.75 GiB","1 vCPUs","4 GB SSD","Moderate","$0.0770 hourly","$0.0580 hourly","$0.0077 hourly","$0.1400 hourly","$0.1170 hourly"
"T4G Large","t4g.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0800 hourly","$0.0504 hourly","$0.0261 hourly","unavailable","unavailable"
"C6G Large","c6g.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0848 hourly","$0.0534 hourly","$0.0324 hourly","unavailable","unavailable"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs for a 7h 12m burst","EBS only","Up to 5 Gigabit","$0.0893 hourly","$0.0562 hourly","$0.0268 hourly","$0.1169 hourly","$0.0838 hourly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0896 hourly","$0.0564 hourly","$0.0425 hourly","unavailable","unavailable"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0950 hourly","$0.0600 hourly","$0.0335 hourly","$0.1870 hourly","$0.1520 hourly"
"M1 General Purpose Medium","m1.medium","3.75 GiB","1 vCPUs","410 GB HDD","Moderate","$0.0950 hourly","$0.0680 hourly","$0.0492 hourly","$0.1570 hourly","$0.1310 hourly"
"C6A Large","c6a.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0954 hourly","$0.0630 hourly","$0.0323 hourly","$0.1874 hourly","$0.1550 hourly"
"C6GD Large","c6gd.large","4.0 GiB","2 vCPUs","118 GB NVMe SSD","Up to 10 Gigabit","$0.0960 hourly","$0.0609 hourly","$0.0323 hourly","unavailable","unavailable"
